#AVAILABLE,CITY,TYPE,RENT,BEDS,BATHS,PETS,SQ. FT.
"Now","SANFRANCISCO","Apartment","$2995","2","1.00","WillConsider",""
"Now","SANFRANCISCO","Apartment","$2995","3","2.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$2995","2","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2995","3","2.50","Call",""
"Now","SANFRANCISCO","Apartment","$2995","3","2.00","PetOK","1569"
"Now","SANFRANCISCO","Apartment","$2995","3","1.50","DogOK","1200"
"Now","SANFRANCISCO","Apartment","$2995","2","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2999","1","1.00","PetOK",""
"Now","PACIFICHEIGHTS","Apartment","$3000","2","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3000","1","1.00","PetOK","680"
"Now","SANFRANCISCO","Apartment","$3000","2","2.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$3000","2","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$3000","3","1.00","CatOK","1300"
"Now","TWINPEAKS","Apartment","$3000","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3000","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3000","1","1.00","PetOK","730"
"Now","SANFRANCISCO","Apartment","$3000","2","1.00","DogOK","1140"
"Now","SANFRANCISCO","Apartment","$3000","2","1.00","DogOK","975"
"Now","SANFRANCISCO","Apartment","$3000","2","1.00","PetOK",""
"Now","SANFRANCISCO","Condo","$3000","2","1.00","NoPets","756"
"Now","SANFRANCISCO","Apartment","$3015","1","1.00","PetOK","738"
"Now","SANFRANCISCO","Apartment","$3050","2","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3050","2","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$3050","2","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3050","2","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$3050","2","1.00","PetOK","882"
"Now","SANFRANCISCO","Apartment","$3055","2","2.00","PetOK","1044"
"01/31/2012","SANFRANCISCO","Apartment","$3060","2","2.00","Call","815"
"Now","SANFRANCISCO","Apartment","$3062","2","2.00","PetOK","925"
"Now","SANFRANCISCO","Apartment","$3066","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$3071","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$3071","1","1.00","PetOK","814"
"Now","SANFRANCISCO","Apartment","$3075","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3075","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3100","2","1.00","PetOK","814"
"Now","SANFRANCISCO","Apartment","$3100","2","2.00","PetOK","1059"
"Now","SANFRANCISCO","House","$3100","3","2.00","Call",""
"Now","SANFRANCISCO","Apartment","$3100","1","1.00","PetOK","826"
"Now","SANFRANCISCO","House","$3100","3","2.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3106","2","2.00","Call",""
"Now","SANFRANCISCO","Apartment","$3125","4","2.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$3125","2","2.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$3125","4","2.50","NoPets",""
"Now","SANFRANCISCO","Apartment","$3125","4","2.00","DogOK","1390"
"Now","SANFRANCISCO","Apartment","$3140","1","1.00","PetOK","723"
